,구장명,주소,시,구,냉난방,5vs5,7vs7,6vs6,팀조끼,4vs4,트레이닝 존,공대여,3vs3,8vs8,냉방,풋살화,11vs11,9vs9,샤워실,주차
0,부천 Clear(클리어) 풋살장 야외구장,경기도 부천시 옥산로 255 옥상층,경기도,부천시,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1
1,남양주 다산 LS 풋살파크 메인구장,경기도 남양주시 다산중앙로82번안길 166-46 파인듀파크빌딩 6층,경기도,남양주시,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
2,고양 일산 드림하이 실내풋살장,경기도 고양시 일산서구 덕산로196-6,경기도,고양시,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
3,남양주 화도 유노풋볼 실내풋살장,경기도 남양주시 화도읍 수레로1120번길 1 2층,경기도,남양주시,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
4,솔레아스 시흥IC점 실내풋살장 A구장,경기도 시흥시 은계중앙로 306번길36 태진지식산업센터 2층,경기도,시흥시,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
5,연희 풋볼존 트레이닝존,서울시 서대문구 연희로132 지층,서울시,서대문구,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
6,동탄 수원삼성블루윙즈 실내풋살장 A구장,경기도 화성시 동탄대로 446 동탄역그란비아스타 B1층,경기도,화성시,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
7,용인 수지주니어FC 야외풋살장,경기도 용인시 수지구 동천로448번길 31-4,경기도,용인시,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
8, 시흥 아이온 2호점 실내풋살장,경기도 시흥시 황고개로531 영광프라자 5층,경기도,시흥시,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
9,안산 풋살제이 실내풋살장,경기도 안산시 상록구 분대길22,경기도,안산시,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1
10,인천 탑런 풋살파크 검단롯데마트점 2구장,인천시 서구 마전동 1031-1 검단롯데마트 5층,인천시,서구,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
11,동대문 토모 풋살피치 야외구장,서울시 동대문구 답십리동 산2-9 힐스포파크 2층(동대문구 답십리로 209 힐스포파크 옥상층,서울시,동대문구,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
12,강서염창 로꼬풋살스타디움 실내 1구장,서울시 강서구 염창동 64-1,서울시,강서구,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,시흥 풋볼아이 풋살파크 A구장,경기도 시흥시 뒷방울길 64-11,경기도,시흥시,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
14,상암 DMC 실내풋살장 A구장,경기도 고양시 덕양구 호원길 3-2 2층,경기도,고양시,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
15,세종 드림스타디움 실내풋살장,세종시 연서면 월하리 138-1 세종패션타운 제1차 1동,세종시,연서면,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1
16,용인 광주풋살장 실내구장,경기도 용인시 처인구 모현읍 백옥대로2101번길 63-32,경기도,용인시,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1
17,시흥 드림 야외풋살장 A구장,경기도 시흥시 금이동 56-7,경기도,시흥시,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
18,의정부 도봉산 호원풋살장 A구장,경기도 의정부시 호원동 168-11,경기도,의정부시,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1
19,안양 CS 풋살장 1구장,경기도 안양시 만안구 예술공원로52번길 2,경기도,안양시,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
20,수원 누누 실내풋살장 탑동점,경기도 수원시 권선구 탑동 758-5 7층,경기도,수원시,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
21,용인 노리터 풋볼랩 실내풋살장,경기도 용인시 기흥구 용구대로2145번길 19 2층,경기도,용인시,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
22,시흥 백호 실내풋살장 A구장,경기도 시흥시 대야동 210-2,경기도,시흥시,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
23,시흥 하이어 실내풋살장,경기도 시흥시 배곧동 서울대학로 264번길 26-32 3층,경기도,시흥시,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
24,수지광교PPC 풋살파크,경기도 용인시 수지구 성복2로 369,경기도,용인시,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1
25,의왕 백운호수 풋살장 (구 박요셉풋살파크),경기도 의왕시 내손동 164,경기도,의왕시,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
26,광명 로꼬풋살스타디움 블랙구장,경기도 광명시 일직로 17 6층 광명 롯데몰,경기도,광명시,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
27,봉담 드레곤스포츠 야외풋살장,경기도 화성시 봉담읍 상리 475-16,경기도,화성시,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
28,서창 아이필드 풋살센터 A구장,인천시 남동구 운연동 459-37,인천시,남동구,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
29,검단 에피립토 풋살장 야외구장,인천시 서구 왕길동 64-284,인천시,서구,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30,FC PJ 축구센터 야외풋살장,경기도 고양시 일산서구 덕이동 654-5,경기도,고양시,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
31,송탄 베스트 야외풋살장,경기도 평택시 경기대로 1619,경기도,평택시,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
32,고양 쌈바 풋볼파크 야외풋살장 오른쪽구장,경기도 고양시 덕양구 수역이길 42,경기도,고양시,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
33,압구정 풋살스튜디오 실내풋살장,서울시 강남구 압구정로50길 28 현대상가 지하1층 17호,서울시,강남구,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
34,프리즘 실내풋살장 영원초교점,서울시 영등포구 도영로 22길 38 5F,서울시,영등포구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
35,인천 골든타임 실내풋살장,인천시 남동구 서창남순환로 215번길 17 마스타프라자 7층,인천시,남동구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
36,용인 유투고 실내풋살장,경기도 용인시 모현읍 오산리 23-1,경기도,용인시,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
37,양주 제이축구아카데미 야외풋살장 A면,경기도 양주시 평화로 1181,경기도,양주시,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1
38,광명 로꼬풋살스타디움 레드구장,경기도 광명시 일직로 17 6층 광명 롯데몰,경기도,광명시,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
39,신안산풋살파크 A면,경기도 안산시 단원구 신안산대학로 135,경기도,안산시,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
40,용인 플레이스풋볼 실내풋살장,경기도 용인시 처인구 곡현로 480번길12 2층,경기도,용인시,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
41,평택 JS 실내풋살장,경기도 평택시 포승읍 불당길 3 1동,경기도,평택시,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
42,이상호 풋볼 아카데미(남양주 다산풋살구장),경기도 남양주시 다산지금로 124-55,경기도,남양주시,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
43,용인 테크니카 야외풋살장,경기도 용인시 처인구 남사읍 통삼리 629-15,경기도,용인시,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
44,경기광주 US풋살파크 A구장,경기도 광주시 남한산성면 엄미리 50-2,경기도,광주시,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1
45,김포 GFA 야외풋살장,경기도 김포시 양촌읍 석모리 1209,경기도,김포시,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
46,김포 퍼스트 야외풋살장,경기도 김포시 양촌읍 김포한강4로 278번길 31,경기도,김포시,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
47,고양 원흥풋살장,경기도 고양시 덕양구 원흥동 563-27,경기도,고양시,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1
48,인천 펀앤펀 실내풋살장,인천시 남동구 논현동 744-1 골든프라자 5층,인천시,남동구,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
49,인천 현우풋살스타디움 1구장,인천시 서구 석남동 223-192,인천시,서구,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
50,경기광주 ACT 풋살파크 야외구장,경기도 광주시 오포읍 매자리길 94-65,경기도,광주시,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
51,마곡 이노 에코 실내풋살장,서울시 강서구 마곡중앙6로 21 마곡이너매스 B101호,서울시,강서구,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
52,안양 비플렉스 풋살스타디움,경기도 안양시 만안구 전파로 24번길 35-25 3층,경기도,안양시,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1
53,화성풋살파크 야외 A구장,경기도 화성시 향남읍 하길리 616,경기도,화성시,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
54,용인 히어로스포츠클럽 실내풋살장,경기도 용인시 처인구 경안천로 258번길 84,경기도,용인시,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1
55,용인 남곡유나이티드 야외풋살장,경기도 용인시 처인구 남사읍 산정로 51-24,경기도,용인시,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
56,김포 PnC 풋살파크 A구장,경기도 김포시 양촌읍 구래리 681-34,경기도,김포시,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
57,노원 유경 야외풋살장,서울시 노원구 중계동 364-17 유경데파트 옥상층,서울시,노원구,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
58,남양주 힐링사커 아레나 실내풋살장,경기도 남양주시 오남읍 양지리 549-1,경기도,남양주시,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1
59,다산주니어FC 실내풋살장 1층,경기도 남양주시 호평동 천마산로16번길 28,경기도,남양주시,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
60,평택 핏그라운드 풋살장 야외A구장,경기도 평택시 독곡동 25,경기도,평택시,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
61,광명스포츠아카데미 실외풋살장,경기도 광명시 하안동 305-1,경기도,광명시,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
62,동탄 건강한사람들 야외풋살장,경기도 화성시 산척동 552-101,경기도,화성시,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
63,군산 스포츠제이 풋살파크 A면,전라북도 군산시 개정동 30-4,전라북도,군산시,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1
64,전주 메리트풋볼 야외풋살장,전라북도 전주시 완산구 서신동 969-3 옥상층,전라북도,전주시,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
65,시흥 플랑드르 풋살파크 A면,경기도 시흥시 능곡동 235-1 시흥플랑드르 3층,경기도,시흥시,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
66,화성 케이풋살파크 협성대점 화이트 A구장,경기도 화성시 봉담읍 상리 14 협성대학교 내 웨슬리관 옆,경기도,화성시,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1
