구장명,주소
부천 Clear(클리어) 장 야외구장,경기도 부천시 옥산로 255 옥상층
남양주 다산 LS 파크 메인구장,경기도 남양주시 다산중앙로82번안길 166-46 파인듀파크빌딩 6층
고양 일산 드림하이 실내장,경기도 고양시 일산서구 덕산로196-6
남양주 화도 유노풋볼 실내장,경기도 남양주시 화도읍 수레로1120번길 1 2층
솔레아스 시흥IC점 실내장 A구장,경기도 시흥시 은계중앙로 306번길36 태진지식산업센터 2층
연희 풋볼존 트레이닝존,서울시 서대문구 연희로132 지층
동탄 수원삼성블루윙즈 실내장 A구장,경기도 화성시 동탄대로 446 동탄역그란비아스타 B1층
용인 수지주니어FC 야외장,경기도 용인시 수지구 동천로448번길 31-4
 시흥 아이온 2호점 실내장,경기도 시흥시 황고개로531 영광프라자 5층
안산 제이 실내장,경기도 안산시 상록구 분대길22
인천 탑런 파크 검단롯데마트점 2구장,인천시 서구 마전동 1031-1 검단롯데마트 5층
동대문 토모 피치 야외구장,서울시 동대문구 답십리동 산2-9 힐스포파크 2층(동대문구 답십리로 209 힐스포파크 옥상층
강서염창 로꼬스타디움 실내 1구장,서울시 강서구 염창동 64-1
시흥 풋볼아이 파크 A구장,경기도 시흥시 뒷방울길 64-11
상암 DMC 실내장 A구장,경기도 고양시 덕양구 호원길 3-2 2층
세종 드림스타디움 실내장,세종시 연서면 월하리 138-1 세종패션타운 제1차 1동
용인 광주장 실내구장,경기도 용인시 처인구 모현읍 백옥대로2101번길 63-32
시흥 드림 야외장 A구장,경기도 시흥시 금이동 56-7
의정부 도봉산 호원장 A구장,경기도 의정부시 호원동 168-11
안양 CS 장 1구장,경기도 안양시 만안구 예술공원로52번길 2
수원 누누 실내장 탑동점,경기도 수원시 권선구 탑동 758-5 7층
용인 노리터 풋볼랩 실내장,경기도 용인시 기흥구 용구대로2145번길 19 2층
시흥 백호 실내장 A구장,경기도 시흥시 대야동 210-2
시흥 하이어 실내장,경기도 시흥시 배곧동 서울대학로 264번길 26-32 3층
수지광교PPC 파크,경기도 용인시 수지구 성복2로 369
의왕 백운호수 장 (구 박요셉파크),경기도 의왕시 내손동 164
광명 로꼬스타디움 블랙구장,경기도 광명시 일직로 17 6층 광명 롯데몰
봉담 드레곤스포츠 야외장,경기도 화성시 봉담읍 상리 475-16
서창 아이필드 센터 A구장,인천시 남동구 운연동 459-37
검단 에피립토 장 야외구장,인천시 서구 왕길동 64-284
FC PJ 축구센터 야외장,경기도 고양시 일산서구 덕이동 654-5
송탄 베스트 야외장,경기도 평택시 경기대로 1619
고양 쌈바 풋볼파크 야외장 오른쪽구장,경기도 고양시 덕양구 수역이길 42
압구정 스튜디오 실내장,서울시 강남구 압구정로50길 28 현대상가 지하1층 17호
프리즘 실내장 영원초교점,서울시 영등포구 도영로 22길 38 5F
인천 골든타임 실내장,인천시 남동구 서창남순환로 215번길 17 마스타프라자 7층
용인 유투고 실내장,경기도 용인시 모현읍 오산리 23-1
양주 제이축구아카데미 야외장 A면,경기도 양주시 평화로 1181
광명 로꼬스타디움 레드구장,경기도 광명시 일직로 17 6층 광명 롯데몰
신안산파크 A면,경기도 안산시 단원구 신안산대학로 135
용인 플레이스풋볼 실내장,경기도 용인시 처인구 곡현로 480번길12 2층
평택 JS 실내장,경기도 평택시 포승읍 불당길 3 1동
이상호 풋볼 아카데미(남양주 다산구장),경기도 남양주시 다산지금로 124-55
용인 테크니카 야외장,경기도 용인시 처인구 남사읍 통삼리 629-15
경기광주 US파크 A구장,경기도 광주시 남한산성면 엄미리 50-2
